               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12331,            0.014925,             0.07894,           0.0054429,             0.37961,            0.037756,           0.0091123,            0.075767,            0.011503,            0.047163,              0.0973,              0.0003,              0.0003
                   1,             0.12336,             0.01561,            0.080215,           0.0062242,             0.44758,            0.039317,           0.0094589,            0.073867,            0.011705,            0.046697,            0.093699,          0.00069861,          0.00069861
                   2,             0.10962,            0.018481,            0.074509,            0.010497,             0.73906,            0.022908,           0.0043894,            0.069503,            0.012135,            0.045972,            0.090096,           0.0010956,           0.0010956
                   3,            0.096426,            0.021405,            0.070578,            0.013669,             0.96429,            0.027431,           0.0062412,            0.061546,            0.012836,            0.044392,            0.086491,           0.0014911,           0.0014911
                   4,            0.085914,            0.023604,            0.065612,            0.013551,             0.98214,            0.027873,           0.0073465,             0.05576,            0.013223,            0.042872,            0.082885,            0.001885,            0.001885
                   5,             0.07908,            0.025774,            0.061968,            0.013141,                   1,            0.032562,            0.010262,            0.049947,            0.013612,             0.04108,            0.079277,           0.0022772,           0.0022772
                   6,            0.070687,            0.026064,             0.05784,            0.012054,                   1,             0.04421,            0.018774,            0.043436,             0.01387,            0.038709,            0.075668,           0.0026679,           0.0026679
                   7,            0.067414,             0.02614,            0.053174,            0.011188,                   1,             0.11477,            0.061535,            0.041553,            0.013328,            0.036199,            0.072057,            0.003057,            0.003057
                   8,            0.062457,             0.02813,            0.050026,             0.19642,             0.82143,             0.32173,             0.17373,            0.033259,            0.012745,            0.032731,            0.068445,           0.0034446,           0.0034446
                   9,            0.062015,            0.025258,            0.047147,             0.40943,             0.83971,             0.51249,             0.27601,            0.033932,            0.010729,            0.028825,            0.064831,           0.0038305,           0.0038305
                  10,            0.059534,            0.023212,            0.043057,             0.34004,             0.72984,             0.42693,             0.21399,              0.0425,            0.010043,            0.027177,            0.061215,           0.0042149,           0.0042149
                  11,            0.061769,            0.017686,            0.040285,             0.27758,             0.71717,             0.37414,            0.090794,             0.04133,            0.010504,            0.026641,            0.057598,           0.0045976,           0.0045976
                  12,             0.05914,            0.017673,            0.038786,             0.35336,             0.83353,             0.52861,             0.11903,            0.039809,            0.011222,            0.027908,            0.053979,           0.0049788,           0.0049788
                  13,            0.061881,             0.01973,            0.037429,             0.19241,             0.90323,             0.23401,             0.13483,            0.041796,             0.01226,            0.028342,            0.050358,           0.0053584,           0.0053584
                  14,            0.059937,            0.016938,            0.037225,             0.43187,              0.9015,             0.60461,             0.21511,            0.047029,            0.010545,            0.025582,            0.046736,           0.0057365,           0.0057365
                  15,            0.062716,            0.017872,            0.035731,             0.15786,             0.66359,             0.15749,            0.060458,            0.048529,            0.010922,            0.025442,            0.043113,           0.0061129,           0.0061129
                  16,            0.065197,            0.016183,            0.035322,             0.48186,             0.83926,             0.61057,             0.27036,            0.057193,           0.0092736,            0.024161,            0.039488,           0.0064877,           0.0064877
                  17,            0.062146,            0.017321,            0.034912,             0.24505,             0.64747,             0.25467,             0.12816,            0.047091,           0.0095265,            0.023367,            0.035861,            0.006861,            0.006861
                  18,              0.0635,            0.017704,            0.034076,             0.37119,             0.69486,             0.41976,             0.12177,            0.053956,           0.0088789,            0.022486,            0.032233,           0.0072327,           0.0072327
                  19,            0.062467,            0.015953,            0.033772,             0.40041,              0.7765,             0.50592,             0.32818,            0.049931,           0.0081686,            0.022281,            0.028603,           0.0076028,           0.0076028
                  20,            0.051784,            0.018667,            0.033468,             0.43226,             0.82661,             0.55258,             0.25436,            0.047393,           0.0079764,             0.02214,            0.024971,           0.0079713,           0.0079713
                  21,            0.076781,            0.014745,            0.033258,             0.44683,             0.85887,             0.55923,             0.17251,            0.046378,            0.007346,            0.021785,            0.021338,           0.0083383,           0.0083383
                  22,            0.060823,            0.015298,            0.033453,             0.24895,             0.53341,             0.30471,             0.11355,            0.060561,           0.0064785,             0.02189,            0.017704,           0.0087036,           0.0087036
                  23,            0.074846,            0.013409,            0.033674,             0.23475,             0.62779,             0.30338,             0.13778,            0.056615,           0.0063622,            0.021609,            0.014067,           0.0090674,           0.0090674
                  24,            0.070365,            0.015284,            0.034811,             0.44177,             0.87801,             0.51803,             0.26362,            0.033454,           0.0073067,            0.021389,             0.01043,           0.0094296,           0.0094296
                  25,            0.058152,            0.016456,            0.033504,             0.27261,             0.64804,             0.36924,             0.23162,            0.061541,            0.005931,            0.021155,            0.009505,            0.009505,            0.009505
                  26,            0.060561,            0.015481,            0.033797,             0.38438,             0.76959,             0.54866,             0.20763,              0.0402,           0.0061378,            0.021168,            0.009505,            0.009505,            0.009505
                  27,            0.063719,            0.016309,            0.031867,             0.47668,             0.89459,             0.63971,             0.34428,             0.03491,           0.0059482,            0.021266,           0.0094852,           0.0094852,           0.0094852
                  28,            0.052384,            0.016041,            0.031759,             0.42712,             0.89286,             0.59606,             0.19778,             0.03555,           0.0060263,            0.021515,           0.0094654,           0.0094654,           0.0094654
                  29,            0.056959,            0.015005,            0.035113,             0.46943,             0.84835,             0.58253,             0.41709,            0.043889,           0.0056564,            0.021766,           0.0094456,           0.0094456,           0.0094456
                  30,            0.054967,             0.01655,             0.03109,             0.41949,              0.9015,             0.49124,             0.27017,            0.032631,           0.0061494,            0.021632,           0.0094258,           0.0094258,           0.0094258
                  31,            0.050473,             0.01515,            0.033417,             0.47037,             0.95945,             0.58024,             0.34815,            0.030822,           0.0057038,            0.021455,            0.009406,            0.009406,            0.009406
                  32,            0.048864,            0.015327,            0.031421,             0.34337,             0.68533,             0.42759,             0.16189,            0.060734,           0.0053916,            0.021153,           0.0093862,           0.0093862,           0.0093862
                  33,            0.064363,            0.013285,            0.030585,             0.44147,             0.90067,             0.58339,              0.4248,            0.031418,            0.005463,            0.020709,           0.0093664,           0.0093664,           0.0093664
                  34,            0.045274,            0.016534,            0.032335,              0.4387,             0.81369,             0.51735,             0.19982,            0.042886,            0.005049,            0.020689,           0.0093466,           0.0093466,           0.0093466
                  35,            0.049839,            0.015183,            0.031838,             0.40185,             0.78917,             0.50878,             0.32696,            0.048987,            0.004759,            0.020284,           0.0093268,           0.0093268,           0.0093268
                  36,            0.052648,            0.013862,            0.031147,             0.38885,             0.80385,             0.52184,             0.20723,            0.038628,           0.0050499,            0.020234,            0.009307,            0.009307,            0.009307
                  37,              0.0595,            0.014616,            0.030429,             0.41223,             0.80555,             0.51633,             0.22855,            0.046211,           0.0051619,            0.019849,           0.0092872,           0.0092872,           0.0092872
                  38,            0.050624,            0.015627,            0.032133,             0.42078,               0.778,             0.60408,              0.4087,            0.030344,           0.0049703,            0.019741,           0.0092674,           0.0092674,           0.0092674
                  39,            0.050696,            0.015442,            0.030447,              0.3312,             0.69816,             0.56569,             0.23825,            0.031232,           0.0053561,             0.01966,           0.0092476,           0.0092476,           0.0092476
                  40,            0.047303,            0.015507,            0.030955,             0.48292,             0.97596,             0.63539,              0.3767,            0.035353,           0.0051795,            0.019602,           0.0092278,           0.0092278,           0.0092278
                  41,            0.045868,            0.012283,            0.030692,             0.42522,             0.85454,             0.62662,             0.48335,            0.028971,           0.0051765,            0.019469,            0.009208,            0.009208,            0.009208
                  42,            0.041912,            0.012998,            0.029326,             0.28419,             0.69643,              0.3804,             0.23995,            0.042125,           0.0049478,            0.019639,           0.0091882,           0.0091882,           0.0091882
                  43,            0.052363,             0.01276,            0.033112,             0.39913,             0.72654,             0.62834,             0.37595,            0.024333,           0.0048743,            0.019473,           0.0091684,           0.0091684,           0.0091684
                  44,            0.044361,            0.012461,            0.030062,              0.3787,               0.875,             0.62964,             0.39312,            0.038535,           0.0047286,            0.019458,           0.0091486,           0.0091486,           0.0091486
                  45,            0.043558,            0.014183,            0.028636,             0.38706,               0.875,             0.59903,             0.34349,            0.031978,           0.0046849,              0.0195,           0.0091288,           0.0091288,           0.0091288
                  46,            0.039939,            0.012818,             0.02817,             0.43181,             0.92857,             0.68068,             0.50194,            0.028471,           0.0046172,            0.019594,            0.009109,            0.009109,            0.009109
                  47,            0.040986,              0.0138,            0.030432,             0.36683,             0.85286,             0.67695,             0.41098,            0.027542,            0.005111,            0.019817,           0.0090892,           0.0090892,           0.0090892
                  48,            0.048362,            0.011982,            0.028892,             0.41463,             0.94643,              0.6999,             0.48828,            0.026145,           0.0046435,            0.019634,           0.0090694,           0.0090694,           0.0090694
                  49,            0.036367,             0.01305,            0.030522,             0.39713,             0.89286,             0.71341,             0.32205,            0.031067,           0.0048341,            0.019416,           0.0090496,           0.0090496,           0.0090496
                  50,            0.046267,            0.011131,            0.030738,             0.49483,             0.96429,             0.72606,             0.44027,            0.030838,           0.0046992,            0.019303,           0.0090298,           0.0090298,           0.0090298
